,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
8713,The Prodigy,2019,R,92,Horror,Nicholas McCarthy,Jeff Buhler,"Taylor Schilling, Jackson Robert Scott, Peter Mooney, Colm Feore",A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,English,"USA, Canada",,45.0,5.9,17499,0,0.0,,,small,0
8714,Cold Pursuit,2019,R,119,Action,Hans Petter Moland,"Frank Baldwin (screenplay by), Kim Fupz Aakeson (based on the movie 'Kraftidioten' written by)","Liam Neeson, Laura Dern, Micheál Richardson, Michael Eklund",A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,"English, Vietnamese, Shoshoni","UK, Norway, Canada, USA, France, Germany",Nomination,57.0,6.2,45484,1,0.0,Summit Entertainment,33.0,big,0
8715,The Kindness of Strangers,2019,Not Rated,112,Drama,Lone Scherfig,Lone Scherfig,"Bill Nighy, Jay Baruchel, Caleb Landry Jones, Andrea Riseborough",The story of people whose lives intertwine during a dramatic winter in New York City.,English,"Denmark, Canada, Sweden, France, Germany, UK, USA",Nomination,32.0,5.5,201,0,0.0,,,small,0
8721,Light of My Life,2019,R,119,Drama,Casey Affleck,Casey Affleck,"Anna Pniowsky, Casey Affleck, Tom Bower, Elisabeth Moss","Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.",English,USA,Nomination,67.0,6.6,5559,1,0.0,Saban Films,22.0,small,1
8725,Knives and Skin,2019,Not Rated,111,Drama,Jennifer Reeder,Jennifer Reeder,"Kate Arrington, Marika Engelhardt, Tim Hopper, Claire VanDerLinden",A mystical teen noir that follows a young girl's disappearance in the rural Midwest and its effect on teens and parents.,English,USA,Other Win,55.0,5.2,355,1,0.0,IFC Midnight,16.0,small,0
8727,The Operative,2019,Not Rated,116,Thriller,Yuval Adler,"Yiftach R. Atir (based on the novel by), Yuval Adler","Diane Kruger, Martin Freeman, Cas Anvar, Rotem Keinan",A woman is recruited by the Mossad to work undercover in Tehran.,"English, German, Persian, Hebrew, Kurdish, French","France, Israel, Germany, USA",,47.0,5.6,2223,0,0.0,Vertical Entertainment,36.0,big,0
8729,Isn't It Romantic,2019,PG-13,89,Comedy,Todd Strauss-Schulson,"Erin Cardillo (screenplay by), Dana Fox (screenplay by), Katie Silberman (screenplay by), Erin Cardillo (story by)","Rebel Wilson, Liam Hemsworth, Adam Devine, Priyanka Chopra",A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,English,USA,Nomination,60.0,5.9,52595,1,0.0,New Line Cinema,17.0,small,0
8730,I See You,2019,R,96,Crime,Adam Randall,Devon Graye,"Helen Hunt, Jon Tenney, Judah Lewis, Owen Teague",Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.,English,USA,Nomination,65.0,6.6,3392,1,0.0,Saban Films,22.0,small,1
8732,Happy Death Day 2U,2019,PG-13,100,Comedy,Christopher Landon,"Christopher Landon, Scott Lobdell (based on characters created by)","Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,"English, French","USA, Japan",Nomination,57.0,6.2,43758,1,0.0,Universal Pictures,123.0,big,0
8738,Trading Paint,2019,R,87,Action,Karzan Kader,"Gary Gerani, Craig R. Welch","John Travolta, Shania Twain, Toby Sebastian, Rosabell Laurenti Sellers","Veteran race car driver Sam Munroe and his son, a fellow driver from a small town overcome family and professional conflicts, balancing competition, ego, resentment and a racing nemesis to come out stronger on the other side.",English,"Spain, USA",,34.0,4.5,1179,1,0.0,Saban Films,22.0,small,0
8742,The Aftermath,2019,R,108,Drama,James Kent,"Joe Shrapnel (screenplay by), Anna Waterhouse (screenplay by), Rhidian Brook (screenplay by), Rhidian Brook (based on the novel ""The Aftermath"" by)","Keira Knightley, Ned Wills, Pandora Colin, Jason Clarke","Post World War II, a British colonel and his wife are assigned to live in Hamburg during the post-war reconstruction, but tensions arise with the German who previously owned the house.","English, Russian","Germany, UK, USA",,43.0,6.3,11995,1,0.0,Fox Searchlight Pictures,23.0,small,0
8743,Captain Marvel,2019,PG-13,123,Action,"Anna Boden, Ryan Fleck","Anna Boden (screenplay by), Ryan Fleck (screenplay by), Geneva Robertson-Dworet (screenplay by), Nicole Perlman (story by), Meg LeFauve (story by), Anna Boden (story by), Ryan Fleck (story by), Geneva Robertson-Dworet (story by)","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,English,"USA, Australia",Other Win,64.0,6.9,388113,1,0.0,Marvel Studios,3.0,small,1
8744,The Great Alaskan Race,2019,PG,87,Action,Brian Presley,Brian Presley,"Brian Presley, Treat Williams, Brad Leland, Henry Thomas","In 1925's historic great race of mercy, a group of brave mushers travel 700 miles to save the small children of Nome, Alaska from a deadly epidemic.",English,USA,,29.0,5.4,101,0,0.0,,,small,0
8760,Triple Frontier,2019,R,125,Action,J.C. Chandor,"Mark Boal (screenplay), J.C. Chandor (screenplay), Mark Boal (story)","Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund","Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.","English, Spanish, Portuguese",USA,Nomination,61.0,6.5,88991,1,0.0,,,small,1
8762,Mine 9,2019,Not Rated,83,Drama,Eddie Mensore,Eddie Mensore,"Terry Serpico, Mark Ashworth, Kevin Sizemore, Clint James","Two miles into the earth, nine Appalachian miners struggle to survive after a methane explosion leaves them with one hour of oxygen.",English,USA,Other Win,66.0,7.4,505,0,0.0,,,small,1
8768,Us,2019,R,116,Horror,Jordan Peele,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,English,"USA, Japan",Other Win,81.0,6.9,173835,1,0.0,Universal Pictures,123.0,big,1
8769,Body at Brighton Rock,2019,R,87,Horror,Roxanne Benjamin,Roxanne Benjamin,"Karina Fontes, Casey Adams, Emily Althaus, Miranda Bailey",A park ranger spends the night guarding a potential crime scene on a remote mountain trail.,English,USA,Nomination,53.0,4.6,864,1,0.0,Magnolia Pictures,59.0,big,0
8770,Sword of Trust,2019,R,88,Comedy,Lynn Shelton,"Lynn Shelton, Michael Patrick O'Brien","Marc Maron, Jon Bass, Michaela Watkins, Jillian Bell","Cynthia and Mary show up to collect Cynthia's inheritance from her deceased grandfather, but the only item she receives is an antique sword that was believed by her grandfather to be proof that the South won the Civil War.",English,USA,Other Win,70.0,6.3,1009,1,0.0,IFC Films,127.0,big,1
8772,Long Shot,2019,R,125,Comedy,Jonathan Levine,"Dan Sterling (screenplay by), Liz Hannah (screenplay by), Dan Sterling (story by)","Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr.","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","English, Swedish, French, Vietnamese, Russian, Hebrew",USA,Other Win,67.0,6.9,63575,1,0.0,Summit Entertainment,33.0,big,1
8774,The Peanut Butter Falcon,2019,PG-13,97,Adventure,"Tyler Nilson, Michael Schwartz","Tyler Nilson, Michael Schwartz","Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern",Zak runs away from his care home to make his dream of becoming a wrestler come true.,English,USA,Other Win,70.0,7.7,28787,1,0.0,Roadside Attractions,39.0,big,1
8776,Villains,2019,R,90,Comedy,"Dan Berk, Robert Olsen","Dan Berk, Robert Olsen","Bill Skarsgård, Maika Monroe, Jeffrey Donovan, Kyra Sedgwick","After a pair of amateur criminals break into a suburban home, they stumble upon a dark secret that two sadistic homeowners will do anything to keep from getting out.",English,USA,Other Win,63.0,6.2,2107,0,0.0,Gunpowder &amp; Sky,7.0,small,1
8777,The Beach Bum,2019,R,95,Comedy,Harmony Korine,Harmony Korine,"Matthew McConaughey, Snoop Dogg, Isla Fisher, Stefania LaVie Owen",A rebellious stoner named Moondog lives life by his own rules.,"English, Spanish","Switzerland, UK, France, USA",Nomination,55.0,5.5,13163,1,0.0,NEON,15.0,small,0
8779,Auggie,2019,Not Rated,81,Drama,Matt Kane,"Matt Kane, Marc Underhill","Richard Kind, Larisa Oleynik, Christine Donlon, Christen Harper","Forced into early retirement, Felix Greystone falls in love with an augmented reality companion, to the detriment of his relationship with his wife and daughter.",English,USA,Other Win,44.0,4.9,261,1,0.0,Samuel Goldwyn Films,29.0,small,0
8781,Darlin',2019,Not Rated,100,Horror,Pollyanna McIntosh,"Jack Ketchum (based on characters created by), Pollyanna McIntosh, Lucky McKee (based on characters created by)","Cooper Andrews, Kristina Arntz, Mackenzie Bateman, Bryan Batt",A direct sequel to 2011's The Woman.,English,USA,Nomination,49.0,4.9,765,1,0.0,Dark Sky Films,6.0,small,0
8783,Daniel Isn't Real,2019,Not Rated,100,Thriller,Adam Egypt Mortimer,"Brian DeLeeuw (novel), Brian DeLeeuw, Adam Egypt Mortimer","Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson","A troubled college freshman, Luke, suffers a violent family trauma. He then resurrects his charismatic childhood imaginary friend Daniel to help him cope, not realizing how dangerous Daniel is.",English,USA,Other Win,64.0,6.0,1473,0,0.0,,,small,1
8784,Mickey and the Bear,2019,R,88,Drama,Annabelle Attanasio,Annabelle Attanasio,"Camila Morrone, James Badge Dale, Calvin Demba, Ben Rosenfield","Faced with the responsibility to take care of her addict, veteran father, headstrong teen Mickey Peck keeps her household afloat.",English,USA,Other Win,79.0,6.6,193,0,0.0,Utopia,1.0,small,1
8785,Booksmart,2019,R,102,Comedy,Olivia Wilde,"Emily Halpern, Sarah Haskins, Susanna Fogel, Katie Silberman","Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis","On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","English, Mandarin, Spanish",USA,Other Win,84.0,7.2,56150,1,0.0,United Artists,1.0,small,1
8786,The Highwaymen,2019,R,132,Biography,John Lee Hancock,John Fusco,"Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch",The untold true story of the legendary detectives who brought down Bonnie and Clyde.,"English, Spanish",USA,Nomination,58.0,6.9,58963,1,0.0,Netflix,93.0,big,0
8787,The Art of Self-Defense,2019,R,104,Comedy,Riley Stearns,Riley Stearns,"Jesse Eisenberg, Alessandro Nivola, Imogen Poots, Steve Terada","After being attacked on the street, a young man enlists at a local dojo, led by a charismatic and mysterious sensei, in an effort to learn how to defend himself from future threats.","English, French, German",USA,Nomination,65.0,6.7,16432,1,0.0,Bleecker Street,8.0,small,1
8790,Adopt a Highway,2019,Not Rated,78,Drama,Logan Marshall-Green,Logan Marshall-Green,"Elaine Hendrix, Ethan Hawke, Christopher Heyerdahl, Chris Sullivan",An ex-felon discovers a live baby left in a dumpster.,English,USA,,53.0,6.2,1237,1,0.0,RLJE Films,12.0,small,0
8791,Girl on the Third Floor,2019,Not Rated,93,Horror,Travis Stevens,"Trent Haaga (story), Paul Johnstone (based on a story by), Ben Parker (based on a story by), Travis Stevens","C.M. Punk, Trieste Kelly Dunn, Sarah Brooks, Elissa Dowling","Don Koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans.",English,USA,Other Win,65.0,4.8,2302,1,0.0,,,small,1
8793,The Day Shall Come,2019,Not Rated,87,Comedy,Christopher Morris,"Jesse Armstrong, Sean Gray (additional material by), Tony Roche (additional material by), Christopher Morris","Andrel McPherson, Miles Robbins, Marchánt Davis, Anna Kendrick",An impoverished preacher who brings hope to the Miami projects is offered cash to save his family from eviction. He has no idea his sponsor works for the FBI who plan to turn him into a criminal by fueling his madcap revolutionary dreams.,English,"UK, USA",,70.0,5.8,2068,1,0.0,IFC Films,127.0,big,1
8794,Good Boys,2019,R,90,Adventure,Gene Stupnitsky,"Lee Eisenberg, Gene Stupnitsky","Jacob Tremblay, Keith L. Williams, Brady Noon, Molly Gordon","Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",English,USA,Nomination,60.0,6.7,36807,1,0.0,Universal Pictures,123.0,big,0
8797,Wonder Park,2019,PG,85,Animation,Dylan Brown,"Josh Appelbaum (screenplay by), André Nemec (screenplay by), Robert Gordon (story by), Josh Appelbaum (story by), André Nemec (story by)","Sofia Mali, Jennifer Garner, Ken Hudson Campbell, Kenan Thompson",Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.,English,"Spain, USA",,45.0,5.8,7197,1,0.0,Paramount Animation,1.0,small,0
8798,Stuber,2019,R,93,Action,Michael Dowse,Tripper Clancy,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales",A detective recruits his Uber driver into an unexpected night of adventure.,English,USA,Nomination,42.0,6.1,26134,1,0.0,20th Century Fox,133.0,big,0
8799,Five Feet Apart,2019,PG-13,116,Drama,Justin Baldoni,"Mikki Daughtry, Tobias Iaconis","Haley Lu Richardson, Cole Sprouse, Moises Arias, Kimberly Hebert Gregory","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.","English, French",USA,Other Win,53.0,7.2,27598,1,0.0,CBS Films,17.0,small,0
8800,The Curse of la Llorona,2019,R,93,Horror,Michael Chaves,"Mikki Daughtry, Tobias Iaconis","Linda Cardellini, Roman Christou, Jaynee-Lynne Kinchen, Raymond Cruz","Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.","English, Spanish",USA,Nomination,41.0,5.4,27768,1,0.0,New Line Cinema,17.0,small,0
8802,The Professor and the Madman,2019,Not Rated,124,Biography,Farhad Safinia,"John Boorman, Todd Komarnicki, Farhad Safinia, Simon Winchester (book)","Mel Gibson, Sean Penn, Eddie Marsan, Natalie Dormer","Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",English,"Ireland, France, Iceland, USA, Mexico, Belgium, UK, Hong Kong",,25.0,7.3,20777,1,0.0,Vertical Entertainment,36.0,big,0
8803,Captive State,2019,PG-13,109,Drama,Rupert Wyatt,"Erica Beeney, Rupert Wyatt","John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga","Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",English,USA,Nomination,54.0,6.0,41446,1,0.0,Focus Features,61.0,big,0
8804,Finding Steve McQueen,2019,R,91,Crime,Mark Steven Johnson,"Ken Hixon, Keith Sharon","Travis Fimmel, Rachael Taylor, Forest Whitaker, William Fichtner","In 1972, a gang of close-knit thieves from Youngstown, Ohio attempt to steal $30 million in illegal contributions and blackmail money from President Richard Nixon's secret fund.",English,USA,,56.0,6.2,2868,1,0.0,Momentum Pictures,15.0,small,0
8805,Nancy Drew and the Hidden Staircase,2019,PG,89,Comedy,Katt Shea,"Nina Fiore (screenplay by), John Herrera (screenplay by), Mildred Wirt Benson (based on the novel by)","Sophia Lillis, Zoe Renee, Mackenzie Graham, Andrea Anders","A bit of an outsider struggling to fit into her new surroundings, Nancy and her pals set out to solve a mystery, make new friends, and establish their place in the community.",English,USA,Nomination,55.0,5.7,2354,1,0.0,Warner Bros.,23.0,small,0
8810,The Dirt,2019,TV-MA,107,Biography,Jeff Tremaine,"Amanda Adelson (screenplay), Tommy Lee (book), Mick Mars (book), Vince Neil (book), Nikki Sixx (book), Neil Strauss (book), Rich Wilkes (screenplay)","Machine Gun Kelly, Erin Ownbey, Douglas Booth, Aaron Jay Rome","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",English,USA,,39.0,7.0,32988,0,0.0,,,small,0
8811,Triple Threat,2019,R,96,Action,Jesse V. Johnson,"Joey O'Bryan, Fangjin Song (Writer), Paul Staheli","Tony Jaa, Tiger Hu Chen, Iko Uwais, Scott Adkins","When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.","English, Mandarin, Thai","Thailand, China, USA",,60.0,5.5,7485,1,0.0,Well Go USA Entertainment,10.0,small,0
8813,Depraved,2019,Not Rated,114,Drama,Larry Fessenden,Larry Fessenden,"David Call, Joshua Leonard, Alex Breaux, Ana Kayne",A disillusioned field surgeon suffering from PTSD makes a man out of body parts and brings him to life in a Brooklyn loft.,English,USA,,69.0,5.0,648,1,0.0,IFC Midnight,16.0,small,1
8814,Lying and Stealing,2019,R,100,Crime,Matt Aselton,"Matt Aselton, Adam Nagata","Theo James, Emily Ratajkowski, Fred Melamed, Aris Alvarado","Ivan steals art for the Greek. He wants out but can he? He meets an actress at 2 of his ""jobs"". She has her own problems but helps him.",English,USA,,50.0,5.2,2351,1,0.0,Vertical Entertainment,36.0,big,0
8816,I Trapped the Devil,2019,Not Rated,82,Drama,Josh Lobo,Josh Lobo,"Scott Poythress, AJ Bowen, Susan Burke, Rowan Russell","A man descends into paranoia after trapping what he believes to be the devil in his basement, but things take a dark turn when his family unexpectedly arrive for Christmas.",English,USA,Nomination,47.0,4.8,1434,1,0.0,IFC Midnight,16.0,small,0
8818,Mercy Black,2019,TV-14,88,Horror,Owen Egerton,Owen Egerton,"Daniella Pineda, Austin Amelio, Elle LaMont, Lee Eddy","A woman is sent to a mental institution after stabbing her classmate in an attempt to conjure an evil spirit called, Mercy Black. Fifteen years later she's released, and must save her nephew, who has become obsessed with the phenomenon.",English,USA,,48.0,4.9,1776,0,0.0,,,small,0
8819,Shazam!,2019,PG-13,132,Action,David F. Sandberg,"Henry Gayden (screenplay by), Henry Gayden (story by), Darren Lemke (story by), Bill Parker (Shazam created by), C.C. Beck (Shazam created by)","Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,"English, Spanish","USA, Canada",Nomination,71.0,7.1,210143,1,0.0,New Line Cinema,17.0,small,1
8827,Cuck,2019,Not Rated,115,Crime,Rob Lambert,"Rob Lambert, Joe Varkle","Zachary Ray Sherman, Sally Kirkland, Timothy V. Murphy, Monique Parent","When a frustrated loner gains popularity as an Alt-Right vlogger, the online echo chamber turns his fears into a deadly rage.",English,USA,Other Win,40.0,6.1,3641,1,0.0,Gravitas Ventures,35.0,big,0
8832,Unplanned,2019,R,109,Biography,"Chuck Konzelman, Cary Solomon","Abby Johnson (based on the book ""Unplanned"" by), Chuck Konzelman (screenplay by), Cary Solomon (screenplay by)","Ashley Bratcher, Brooks Ryan, Robia Scott, Jared Lotz","All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",English,USA,Other Win,10.0,5.8,11036,1,0.0,Pure Flix,5.0,small,0
8834,Into the Ashes,2019,Not Rated,98,Crime,Aaron Harvey,Aaron Harvey,"Frank Grillo, Marguerite Moreau, James Badge Dale, Robert Taylor","Nick escapes his criminal past and 2 partners, gets a steady job, a friend at work and marries the sheriff's daughter. But his past catches up with him, when his ex partners track him down and want their share of the loot.",English,USA,,50.0,6.3,2789,1,0.0,RLJE Films,12.0,small,0
8837,Satanic Panic,2019,Not Rated,85,Comedy,Chelsea Stardust,"Grady Hendrix (screenplay by), Grady Hendrix (story by), Ted Geoghegan (story by)","Rebecca Romijn, Arden Myrin, Hayley Griffith, Ruby Modine",A pizza delivery girl at the end of her financial rope has to fight for her life - and her tips - when her last order of the night turns out to be high society Satanists in need of a virgin sacrifice.,English,USA,Nomination,51.0,5.5,1863,1,0.0,RLJE Films,12.0,small,0
8839,Stray,2019,Not Rated,89,Action,Joe Sill,"J.D. Dillard (screenplay), J.D. Dillard (story), Joe Sill (original concept), Alex Theurer (screenplay), Alex Theurer (story)","Karen Fukuhara, Christine Woods, Miyavi, Ross Partridge","An orphaned teenager forms an unlikely friendship with a detective. Together they investigate her mother's murder, and uncover the supernatural force that proves to be a threat to her family.",English,USA,,49.0,4.8,558,1,0.0,Screen Media Films,19.0,small,0
8844,Ode to Joy,2019,R,97,Comedy,Jason Winer,"Max Werner, Chris Higgins (inspired by a story on WBEZ Chicago's ""This American Life"" by)","Morena Baccarin, Martin Freeman, Jake Lacy, Melissa Rauch","Charlie has a neurological disorder so strong emotions, especially joy, make him faint. He lives with his brother. Working as librarian gives him a quiet environment but then Francesca enters the library and his life.",English,USA,Other Win,38.0,6.3,1455,1,0.0,IFC Films,127.0,big,0
8846,Missing Link,2019,PG,93,Animation,Chris Butler,Chris Butler (screenplay by),"Hugh Jackman, David Walliams, Stephen Fry, Matt Lucas","Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",English,USA,Other Win,68.0,6.7,11693,1,0.0,Annapurna Pictures,10.0,small,1
8847,The Best of Enemies,2019,PG-13,133,Biography,Robin Bissell,"Robin Bissell, Osha Gray Davidson (inspired by true events chronicled in 'The Best of Enemies: Race and Redemption in the New South' by)","Taraji P. Henson, Sam Rockwell, Babou Ceesay, Anne Heche","Civil rights activist Ann Atwater faces off against C.P. Ellis, Exalted Cyclops of the Ku Klux Klan, in 1971 Durham, North Carolina over the issue of school integration.",English,USA,Nomination,49.0,7.0,5341,1,0.0,STXfilms,13.0,small,0
8848,William,2019,Not Rated,100,Adventure,Tim Disney,"J.T. Allen, Tim Disney","Brody Wilkinson, Connor Wilkinson, Sydney Bell, Lee Booker","Julian Reed and Barbara Sullivan create a Neanderthal baby using ancient Neanderthal DNA from a Neanderthal bog body. William must learn to exist in a world where he is the ultimate outsider, the only Neanderthal on the planet.",English,USA,,57.0,5.0,238,0,0.0,,,small,0
8850,The Haunting of Sharon Tate,2019,R,94,Drama,Daniel Farrands,Daniel Farrands,"Hilary Duff, Jonathan Bennett, Lydia Hearst, Pawel Szajda","Pregnant with director Roman Polanski's child and awaiting his return from Europe, 26-year-old Hollywood actress Sharon Tate becomes plagued by visions of her imminent death.",English,"USA, Mexico",Other Win,8.0,2.8,2501,1,0.0,Saban Films,22.0,small,0
8855,Summer Night,2019,Not Rated,98,Comedy,Joseph Cross,Jordan Jolliff,"Analeigh Tipton, Victoria Justice, Justin Chatwin, Lana Condor",A coming-of-age story about the complexities of young romantic relationships.,English,USA,Nomination,50.0,4.7,432,1,0.0,Samuel Goldwyn Films,29.0,small,0
8863,Breakthrough,2019,PG,116,Biography,Roxann Dawson,"Grant Nieporte (screenplay by), Joyce Smith (based upon the book by)","Marcel Ruiz, Topher Grace, Sarah Constible, Dennis Haysbert","When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.",English,USA,Other Win,46.0,6.2,5390,1,0.0,20th Century Fox,133.0,big,0
8864,The Silence,2019,PG-13,90,Drama,John R. Leonetti,"Carey Van Dyke (screenplay by), Shane Van Dyke (screenplay by), Tim Lebbon (based on the novel by)","Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter","When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.","English, American Sign Language","Germany, USA",,25.0,5.3,29488,1,0.0,Netflix,93.0,big,0
8872,Colewell,2019,Not Rated,79,Drama,Tom Quinn,Tom Quinn,"Karen Allen, Hannah Gross, Kevin J. O'Connor, Craig Walker","For thirty-five years, Nora Pancowski (Karen Allen) has been the postmaster of Colewell, Pennsylvania. When the USPS decides to close her office, she must choose whether to relocate for a ...",English,USA,Other Win,73.0,5.7,123,0,0.0,Gravitas Ventures,35.0,big,1
8877,Someone Great,2019,R,92,Comedy,Jennifer Kaytin Robinson,Jennifer Kaytin Robinson,"Gina Rodriguez, LaKeith Stanfield, Brittany Snow, DeWanda Wise","After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.",English,USA,,63.0,6.2,13868,1,0.0,Netflix,93.0,big,1
8881,Avengers: Endgame,2019,PG-13,181,Action,"Anthony Russo, Joe Russo","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora & Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","English, Japanese, Xhosa, German",USA,Other Win,78.0,8.5,640310,1,0.0,Marvel Studios,3.0,small,1
8887,Burning Cane,2019,Not Rated,77,Drama,Phillip Youmans,Phillip Youmans,"Wendell Pierce, Karen Kaia Livers, Dominique McClellan, Braelyn Kelly","Amongst the cane fields of rural Louisiana, an aging mother struggles between her religious convictions and the love of her son.",English,USA,,75.0,5.3,118,0,0.0,Array Releasing,1.0,small,1
8889,Come to Daddy,2019,R,93,Comedy,Ant Timpson,"Toby Harvard (story), Toby Harvard, Ant Timpson (idea)","Elijah Wood, Stephen McHattie, Garfield Wilson, Madeleine Sami",A man in his thirties travels to a remote cabin to reconnect with his estranged father.,English,"Ireland, Canada, New Zealand, USA",Other Win,62.0,6.6,606,1,0.0,Saban Films,22.0,small,1
8890,Crown Vic,2019,R,110,Action,Joel Souza,Joel Souza,"Thomas Jane, David Krumholtz, Bridget Moynahan, Luke Kleintank",Follows one memorable night in the life of LAPD officer Ray Mandel while hunting two cop killers on the loose.,English,USA,,47.0,6.3,1216,0,0.0,,,small,0
8892,UglyDolls,2019,PG,87,Animation,Kelly Asbury,"Alison Peck (screenplay by), Robert Rodriguez (story by), David Horvath (based on the Uglydoll characters by), Sun-min Kim (based on the Uglydoll characters by), Guoqing Liu (additional writing by), Vivian Wang (additional writing by)","Pitbull, Ice-T, Kelly Clarkson, Blake Shelton","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",English,"China, Canada, USA",Nomination,39.0,4.8,4014,1,0.0,STXfilms,13.0,small,0
8893,The Kill Team,2019,R,87,Action,Dan Krauss,Dan Krauss,"Alexander Skarsgård, Nat Wolff, Adam Long, Jonathan Whitesell",A young American soldier in Afghanistan is disturbed by his commanding officer's behavior and is faced with a moral dilemma.,English,"Spain, USA",,60.0,5.9,1547,1,0.0,A24,26.0,small,0
8895,Good Posture,2019,Not Rated,91,Comedy,Dolly Wells,Dolly Wells,"Emily Mortimer, Nat Wolff, Grace Van Patten, Norbert Leo Butz","Set in current day Brooklyn, Good Posture is the gentle comedy story of a lazy but charming and beautiful young woman who has got used to using men to make her life easier, but after finally pushing one man too far, is forced to discover that she can live a happier life by taking responsibility for herself and not rely on those around her as easy props.",,USA,,69.0,5.9,146,0,0.0,,,small,1
